side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
BUY,296.55,1038,2024-03-15 00:00:00,298.3,1040,2024-03-19 00:00:00,294.7,324.46,-1264.27,-1.21,SL,294.7,305.5
SELL,295.28,1043,2024-03-22 00:00:00,292.99,1047,2024-03-28 00:00:00,296.83,297.6,-1230.55,-1.31,SL,296.83,285.31
BUY,299.08,1049,2024-04-01 00:00:00,300.43,1052,2024-04-04 00:00:00,307.38,322.24,2141.64,2.31,TP,296.96,307.38
BUY,304.15,1053,2024-04-05 00:00:00,306.1,1063,2024-04-19 00:00:00,307.38,319.84,311.28,0.42,TIMEOUT,302.47,313.36
BUY,313.02,1064,2024-04-22 00:00:00,314.99,1065,2024-04-23 00:00:00,311.74,359.15,-1279.78,-1.03,SL,311.74,321.5
BUY,306.68,1066,2024-04-24 00:00:00,307.94,1073,2024-05-03 00:00:00,304.52,333.81,-1243.86,-1.11,SL,304.52,314.78
SELL,307.95,1074,2024-05-06 00:00:00,306.01,1076,2024-05-08 00:00:00,309.3,339.44,-1221.19,-1.08,SL,309.3,299.43
BUY,311.75,1077,2024-05-10 00:00:00,313.49,1080,2024-05-15 00:00:00,320.1,330.01,2076.83,2.11,TP,310.18,320.1
BUY,321.89,1081,2024-05-16 00:00:00,322.91,1082,2024-05-17 00:00:00,320.26,427.88,-1271.47,-0.82,SL,320.26,328.21
SELL,323.16,1083,2024-05-20 00:00:00,321.08,1087,2024-05-24 00:00:00,324.17,358.72,-1224.17,-0.96,SL,324.17,314.89
SELL,319.36,1088,2024-05-27 00:00:00,317.09,1089,2024-05-28 00:00:00,320.78,293.76,-1177.65,-1.16,SL,320.78,309.72
BUY,318.09,1090,2024-05-29 00:00:00,320.38,1091,2024-05-30 00:00:00,316.48,271.9,-1146.99,-1.22,SL,316.48,328.17
SELL,315.56,1092,2024-05-31 00:00:00,313.11,1095,2024-06-05 00:00:00,317.7,226.03,-1108.76,-1.47,SL,317.7,303.92
SELL,315.56,1096,2024-06-06 00:00:00,313.08,1097,2024-06-07 00:00:00,318.67,181.63,-1072.66,-1.79,SL,318.67,301.9
SELL,319.36,1098,2024-06-10 00:00:00,317.28,1100,2024-06-13 00:00:00,305.45,168.16,1937.0,3.73,TP,323.19,305.45
BUY,316.82,1101,2024-06-14 00:00:00,319.35,1104,2024-06-19 00:00:00,312.56,152.07,-1080.63,-2.13,SL,312.56,332.92
BUY,311.75,1105,2024-06-20 00:00:00,314.15,1111,2024-06-28 00:00:00,328.15,144.42,1975.55,4.46,TP,307.15,328.15
BUY,325.69,1113,2024-07-02 00:00:00,328.37,1116,2024-07-05 00:00:00,323.17,202.01,-1116.29,-1.58,SL,323.17,338.78
